factor_a,factor_b,pearson,spearman,pearson_is,spearman_is,pearson_oos,spearman_oos,sample_count,is_sample_count,oos_sample_count
distance_to_vwap,upper_wick_ratio,0.06273447629033164,0.08234666006265906,0.07717226943280978,0.10464517629497366,0.04460107475972742,0.05862326777591626,186256,93115,93141
zscore_return_20,lower_wick_ratio,-0.06440629611679477,-0.07648293005886633,-0.07391705226686607,-0.08484235764866606,-0.05501000558108667,-0.06795272807381268,186255,93114,93141
lower_wick_to_body_ratio,zscore_price_20,-0.005878141179997239,-0.07636292851836995,-0.008070817003039297,-0.09233454566932674,-0.0018575540954058852,-0.05908900502293084,186116,93029,93087
lower_wick_to_body_ratio,bollinger_position_20,-0.005878141179997215,-0.07636292851836995,-0.008070817003039273,-0.09233454566932674,-0.0018575540954058902,-0.05908900502293084,186116,93029,93087
lower_wick_to_body_ratio,rsi_14,-0.005450090510883916,-0.0746733745000901,-0.008135461080902427,-0.09108833165213262,0.0003876094701372307,-0.056336386646562694,186122,93035,93087
range_zscore_20,reversal_bar_up,0.08073621200145564,0.07323958041472425,0.07102160040666677,0.06959091715923287,0.09109717035174973,0.07689954927913738,7185,3695,3490
zscore_return_20,upper_wick_ratio,0.054547723957487915,0.06696650518001623,0.06535361311192686,0.07895203598334156,0.044024462986536325,0.05567018822988661,186255,93114,93141
distance_to_vwap,range_zscore_20,-0.06055522178832924,-0.06682141099324697,-0.06657640417884132,-0.07079191864823303,-0.05507030544450868,-0.06365757349945808,186262,93121,93141
stoch_k,range_zscore_20,-0.06004196957809943,-0.06528030935226752,-0.06131274839086541,-0.06861177282149675,-0.05883901884883369,-0.06214649502854149,186262,93121,93141
lower_wick_to_body_ratio,distance_to_vwap,-0.005091056372211386,-0.06428746830833051,-0.006221078424179218,-0.07945084752411906,-0.0012874746287885898,-0.046733849050174345,186116,93029,93087
upper_wick_to_body_ratio,rsi_14,0.001031153279838818,0.0631405244259382,-0.0008554012000367755,0.08036191793347906,0.005991036030027467,0.04793571528386474,186122,93035,93087
stoch_k,lower_wick_ratio,-0.04561446574418744,-0.06247135133224104,-0.06992826532855893,-0.08745418052804987,-0.022352941781618247,-0.0381733644918022,186262,93121,93141
upper_wick_to_body_ratio,zscore_price_20,0.00032392955228344877,0.06160808458854119,-0.0011946663779616982,0.07852294908439782,0.004148743242131472,0.04666826265868913,186116,93029,93087
upper_wick_to_body_ratio,bollinger_position_20,0.000323929552283453,0.06160808458854119,-0.0011946663779617032,0.07852294908439782,0.004148743242131486,0.04666826265868913,186116,93029,93087
lower_wick_to_body_ratio,zscore_return_20,0.0003685499456428852,-0.061020580696478935,0.0010783423412489197,-0.06429957998687418,-0.001340423260528176,-0.057070974228915376,186115,93028,93087
upper_wick_to_body_ratio,bollinger_width_20,0.004377983868203563,0.056592945703580366,0.0019516401321099277,0.045552079881270115,0.007336233254117465,0.04695601974531535,186116,93029,93087
zscore_price_20,range_zscore_20,-0.048124333118086574,-0.053771321821744586,-0.05428531575595907,-0.062344230624289024,-0.042052368043921214,-0.045452404517147875,186262,93121,93141
bollinger_position_20,range_zscore_20,-0.048124333118086615,-0.053771321821744586,-0.05428531575595902,-0.062344230624289024,-0.04205236804392125,-0.045452404517147875,186262,93121,93141
upper_wick_to_body_ratio,distance_to_vwap,-0.001850739554052744,0.05334641306452147,-0.002235838945754125,0.0660607081522848,-0.0006662486357318449,0.039625436140478434,186116,93029,93087
upper_wick_to_body_ratio,zscore_return_20,0.00014483294545146076,0.05006515298719286,0.0007078321497245981,0.0596546888960135,-0.0010547035046406166,0.04098837824810377,186115,93028,93087
